file,Kincaid,ARI,Coleman-Liau,FleschReadingEase,GunningFogIndex,LIX,SMOGIndex,RIX,DaleChallIndex,total_words,total_sentences,total_characters,passive_voice,active_voice,passive_toks,active_toks,verbs,nouns,adjectives,adverbs,prepositions,auxiliaries,conjunctions,coord_conjunctions,determiners,interjections,numbers,particles,pronouns,proper_nouns,punctuations,subordinating_conjunctions,symbols,other,money,persons,norp,facilities,organizations,gpe,products,events,works,languages,dates,times,quantities,ordinals,cardinals,percentages,stopwords,locations,laws,characters_per_word,syll_per_word,words_per_sentence,sentences_per_paragraph,type_token_ratio,characters,syllables,words,wordtypes,sentences,paragraphs,long_words,complex_words,complex_words_dc,tobeverb,auxverb,conjunction,nominalization
NCT02003924.txt_accumulated_section4.txt,34.02825075075076,43.30653153153154,12.695674720720724,-0.6259121621621375,39.54624624624625,111.77852852852853,22.748417658131498,23.75,16.632757057057056,356,15,2077,15,4,10,12,31,103,22,13,32,12,0,6,28,0,63,7,9,26,117,0,0,0,0,0,0,0,3,0,0,0,21,0,0,1,0,0,53,0,118,0,0,4.906906906906907,1.4534534534534536,83.25,4.0,0.2972972972972973,1634,484,333,99,4,1,95,52,187,9,0,6,16
NCT02003924.txt_accumulated_section5.txt,35.800974943052395,45.590842824601374,12.725716512528475,-5.231430523917979,41.58924829157176,116.27380410022779,23.639767440550294,25.0,16.875503006833714,469,20,2740,20,5,13,16,41,135,30,18,42,17,0,7,37,0,84,9,12,32,155,0,0,0,0,0,0,0,4,0,0,0,21,0,0,1,0,0,71,0,155,0,0,4.908883826879271,1.4533029612756265,87.8,5.0,0.23917995444191345,2155,638,439,105,5,1,125,71,247,13,0,7,21
NCT02003924.txt_accumulated_section6.txt,37.01648351648352,47.15417582417583,12.691792329670331,-8.246483516483494,42.9934065934066,119.57142857142857,24.213203435596427,26.0,17.028360073260075,583,24,3404,24,7,16,20,53,169,36,22,51,21,0,9,47,0,105,11,15,38,193,0,0,0,0,0,0,0,5,0,0,0,21,0,0,1,0,0,88,0,193,0,0,4.9010989010989015,1.4505494505494505,91.0,6.0,0.20695970695970695,2676,792,546,113,6,1,156,90,307,16,0,9,27
NCT02003924.txt_accumulated_section7.txt,37.70027649769585,48.048433179723496,12.566777898617513,-9.586728110599068,43.77450076804916,121.2642089093702,24.4142809492037,26.285714285714285,17.102372196620585,695,29,4045,28,9,19,25,64,202,42,26,60,25,0,10,56,0,126,13,19,44,231,1,0,0,0,0,0,0,6,0,0,0,21,0,0,1,0,0,105,0,231,0,0,4.878648233486943,1.4423963133640554,93.0,7.0,0.17972350230414746,3176,939,651,117,7,1,184,107,365,19,0,10,32
NCT02003924.txt_accumulated_section8.txt,38.377539577836416,48.89848284960423,12.541506493403695,-11.325432058047468,44.44353562005278,122.98218997361478,24.563858652847824,26.75,17.21016332453826,809,34,4708,33,10,22,29,74,237,49,30,70,29,0,11,66,0,147,15,22,50,271,1,0,0,0,0,0,0,7,0,0,0,21,0,0,1,0,0,123,0,269,0,0,4.87335092348285,1.4419525065963061,94.75,8.0,0.15699208443271767,3694,1093,758,119,8,1,214,124,426,22,0,11,37
NCT02003924.txt_accumulated_section9.txt,40.26309764309764,51.1706734006734,12.738661039281709,-17.274242424242388,46.513580246913584,127.7317620650954,25.65686062395524,28.444444444444443,17.230513916947253,947,38,5531,42,10,29,29,85,272,57,33,98,36,0,15,78,0,154,15,24,68,286,2,1,0,0,0,0,0,16,1,0,0,21,0,8,1,0,1,124,2,326,0,0,4.904601571268238,1.4612794612794613,99.0,9.0,0.20202020202020202,4370,1302,891,180,9,1,256,154,490,29,0,15,39
NCT02072824.txt,40.923407960199,51.07338308457711,11.685384754560534,-19.336679104477597,48.16019900497513,127.03399668325042,27.49489742783178,26.666666666666668,17.445893698175787,654,16,3566,24,7,7,14,47,179,50,12,95,15,0,15,37,0,56,15,8,77,97,3,21,19,0,5,0,0,20,3,2,0,0,0,65,24,42,0,24,0,200,1,0,4.724709784411277,1.4676616915422886,100.5,6.0,0.41956882255389716,2849,885,603,253,6,1,160,120,337,13,2,14,19
NCT02072824.txt_accumulated_section3.txt,48.33722991689751,60.48616805170821,11.10487405263158,-37.16482917820865,56.22197599261312,144.71006463527237,30.018512172212592,29.333333333333332,18.39669538319483,398,11,2086,17,3,3,12,31,105,38,10,54,8,0,10,17,0,38,10,6,42,56,0,21,5,0,0,0,0,12,0,2,0,0,0,55,24,42,0,4,0,114,0,0,4.617728531855955,1.440443213296399,120.33333333333333,3.0,0.4265927977839335,1667,520,361,154,3,1,88,73,201,8,0,9,14
NCT02072824.txt_accumulated_section4.txt,44.03500000000001,54.457,11.559265188372095,-29.177499999999966,51.651162790697676,133.77906976744185,29.410225292488512,28.25,17.597918604651163,469,13,2512,21,7,5,14,39,127,44,11,65,13,0,12,22,0,41,12,7,42,58,3,21,6,0,0,0,0,12,3,2,0,0,0,61,24,42,0,5,0,144,0,0,4.7,1.5,107.5,4.0,0.4255813953488372,2021,645,430,183,4,1,113,93,235,11,2,11,14
NCT02072824.txt_accumulated_section5.txt,46.91009982788296,58.809432013769374,11.582908015490535,-34.29491910499138,54.741617900172116,142.36179001721172,29.832815729997478,30.4,18.20545889845095,630,15,3423,24,7,7,14,47,178,50,12,89,15,0,14,36,0,55,15,8,63,93,3,21,19,0,3,0,0,19,3,2,0,0,0,61,24,42,0,24,0,192,1,0,4.700516351118761,1.4561101549053357,116.2,5.0,0.40963855421686746,2731,846,581,238,5,1,152,120,324,13,2,13,18
NCT02092467.txt,51.61925545571245,65.12756815561019,12.554206041752792,-48.25881899871628,58.92962294118927,154.14505776636713,30.644357947251905,34.1578947368421,18.319606233545834,2531,120,14893,69,20,38,115,171,897,270,26,301,89,0,80,177,1,137,38,3,229,608,17,26,51,0,4,0,0,73,2,0,0,1,0,34,0,38,11,80,12,806,0,0,4.861926415874328,1.4878048780487805,127.3157894736842,19.0,0.18272013228606862,11761,3599,2419,442,19,1,649,484,1282,77,1,72,87
NCT02092467.txt_accumulated_section10.txt,51.85722361219703,65.34453479280688,12.461466287724786,-48.924391321344785,58.759687255668496,153.0759186864738,30.0,32.2,17.474108569194684,1337,61,7799,41,11,21,60,91,500,128,16,172,54,0,42,116,0,46,25,1,105,291,10,11,10,0,3,0,0,40,1,0,0,1,0,17,0,20,8,26,8,480,0,0,4.845973416731821,1.488663017982799,127.9,10.0,0.1970289288506646,6198,1904,1279,252,10,1,322,243,607,46,0,37,59
NCT02092467.txt_accumulated_section11.txt,52.19696969696969,65.74853043143298,12.450917701271191,-49.88674114021566,59.08977914740626,153.93913713405237,30.08572250534151,32.45454545454545,17.425723009758606,1479,68,8618,45,12,24,67,101,557,144,16,189,61,0,47,134,0,47,26,1,111,310,12,12,10,0,3,0,0,41,1,0,0,1,0,20,0,20,9,26,8,536,0,0,4.843926553672317,1.4901129943502824,128.72727272727272,11.0,0.1786723163841808,6859,2110,1416,253,11,1,357,269,664,52,0,41,63
NCT02092467.txt_accumulated_section12.txt,52.79178571428571,66.803,12.197053904761908,-49.65803571428569,59.96666666666667,156.58333333333334,30.110883423451916,33.25,17.956284126984126,1648,79,9548,47,12,26,77,111,594,161,18,209,63,0,51,137,0,68,27,1,145,356,12,15,24,0,3,0,0,44,1,0,0,1,0,20,0,24,9,38,8,569,0,0,4.8,1.457142857142857,131.25,12.0,0.18793650793650793,7560,2295,1575,296,12,1,399,294,779,54,0,45,66
NCT02092467.txt_accumulated_section13.txt,52.66897959183673,66.90335187261718,11.903354370845488,-47.57875981161695,60.06952231442028,157.17089033415564,29.875782636189264,33.30769230769231,18.26362805561785,1793,91,10331,49,12,28,87,121,626,174,20,227,65,0,55,140,1,88,27,1,172,396,12,18,33,0,3,0,0,47,1,0,0,1,0,20,0,28,9,49,8,599,0,0,4.7498542274052475,1.4244897959183673,131.92307692307693,13.0,0.17259475218658893,8146,2443,1715,296,13,1,433,313,878,56,0,49,68
NCT02092467.txt_accumulated_section14.txt,52.145957605203364,66.12392289005564,11.993997737794846,-46.87248902907294,59.43623540474885,155.66683645482328,29.792856190730074,33.142857142857146,18.19367492359533,1905,96,11007,54,14,30,90,136,660,188,20,240,68,0,58,150,1,100,28,2,174,420,14,19,33,0,3,0,0,50,1,0,0,1,0,25,0,28,9,59,8,638,0,0,4.765770707624794,1.4366428963247395,130.21428571428572,14.0,0.18650575973669775,8688,2619,1823,340,14,1,464,335,935,59,0,52,68
NCT02092467.txt_accumulated_section15.txt,52.77584740590029,66.77649711766699,12.278087487283827,-49.87030145812135,59.93429637165141,157.00766361478466,30.16615541441225,34.0,18.24122660562903,2055,103,11970,58,15,31,98,144,725,219,20,255,75,0,63,155,1,101,29,2,184,462,14,20,33,0,3,0,0,54,1,0,0,1,0,28,0,28,10,59,8,677,0,0,4.813835198372329,1.461851475076297,131.06666666666666,15.0,0.18514750762970497,9464,2874,1966,364,15,1,510,369,1009,65,0,56,72
NCT02092467.txt_accumulated_section16.txt,52.900847684085505,66.96820011876486,12.208762474109268,-49.88336030285032,60.26395486935867,157.45323634204274,30.454507826584692,34.0625,18.398304038004753,2208,108,12814,59,16,31,104,150,771,235,25,274,76,0,66,160,1,120,36,2,205,516,14,21,36,0,4,0,0,66,1,0,0,1,0,28,0,38,10,70,12,719,0,0,4.801900237529691,1.4560570071258907,131.5625,16.0,0.17387173396674585,10108,3065,2105,366,16,1,545,402,1098,66,0,59,83
NCT02092467.txt_accumulated_section17.txt,53.41875657154813,67.50474668480109,12.423151078257007,-52.29341825124888,60.850061465226375,158.92817722909527,31.0545686748061,35.23529411764706,18.66549143671697,2353,112,13814,60,16,32,108,154,832,246,26,285,79,0,71,160,1,134,36,2,219,580,14,26,51,0,4,0,0,70,1,0,0,1,0,30,0,38,10,80,12,742,0,0,4.838150289017341,1.475767007558915,132.2941176470588,17.0,0.17874610938194754,10881,3319,2249,402,17,1,599,446,1206,69,0,64,84
